Activity= OFF; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Computer Art; Elective= f; Ratio= 5; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Computer Art; Elective= t; Ratio= 5; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Dance - Musical Theater; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Dance - Musical Theater; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Slime; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Slime; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= STEM - Experiments ; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= STEM - Experiments ; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Improv; Elective= f; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Improv; Elective= t; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Graphic Design; Elective= f; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Graphic Design; Elective= t; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Dance - Tik Tok; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Dance - Tik Tok; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Floor & Vault; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Floor & Vault; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= STEM - Challenge; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= STEM - Challenge; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Photoshop; Elective= f; Ratio= 5; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Photoshop; Elective= t; Ratio= 5; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Pickle Ball; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Pickle Ball; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= SL Pool; Elective= f; Ratio= 0; b= 4; subtractBunkCounselors= f; min= 4; max= 4;;
Activity= SL Pool; Elective= t; Ratio= 0; b= 4; subtractBunkCounselors= f; min= 4; max= 4;;
Activity= SL Gaga; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= SL Gaga; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= SL Volleyball; Elective= f; Ratio= 0; b= 3; subtractBunkCounselors= f; min= 3; max= 4;;
Activity= SL Volleyball; Elective= t; Ratio= 0; b= 3; subtractBunkCounselors= f; min= 3; max= 4;;
Activity= Outdoor Pursuits; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 2; max= 3;;
Activity= Outdoor Pursuits; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 2; max= 3;;
Activity= Horses; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Horses; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Lacrosse Boys; Elective= f; Ratio= 15; b= 0; subtractBunkCounselors= f; min= 2; max= 5;;
Activity= Lacrosse Boys; Elective= t; Ratio= 15; b= 0; subtractBunkCounselors= f; min= 2; max= 5;;
Activity= Lacrosse Girls; Elective= f; Ratio= 15; b= 0; subtractBunkCounselors= f; min= 2; max= 5;;
Activity= Lacrosse Girls; Elective= t; Ratio= 15; b= 0; subtractBunkCounselors= f; min= 2; max= 5;;
Activity= Media; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Media; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Evening Activities; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Evening Activities; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Schedule Later; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Schedule Later; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Day Off; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Day Off; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Tofias Ball; Elective= f; Ratio= 20; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Tofias Ball; Elective= t; Ratio= 20; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Rugby; Elective= f; Ratio= 16; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Rugby; Elective= t; Ratio= 16; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Hydration Station 1B; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Hydration Station 1B; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Hydration Station 1G; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Hydration Station 1G; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Hydration Station 2B; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Hydration Station 2B; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Hydration Station 2G; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Hydration Station 2G; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Hydration Station 3B; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Hydration Station 3B; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Hydration Station 3G; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Hydration Station 3G; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Hydration Station 4B; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Hydration Station 4B; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Hydration Station 4G; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Hydration Station 4G; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
